vessel_name,MMSI,Flag,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,at_dock,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,percent_ais_voyage,vv_url
AFRICA STAR,627074000,GHA,fishing,tuna_purse_seines,GHA,TEMA,02/07/2024 13:58,4,03/07/2024 13:59,4,1,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,68,https://globalfishingwatch.org/map/vessel/9aed1677e-ef23-f541-58eb-8d755d410df4?&start=2024-06-30&end=2024-07-05
EGALABUR,312078000,BLZ,fishing,tuna_purse_seines,CIV,ABIDJAN,15/06/2024 23:50,4,04/07/2024 05:43,4,18.2,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,TRUE,2,TRUE,16,NA,https://globalfishingwatch.org/map/vessel/e381c1064-4581-8291-c3dc-2be09ac071b9?&start=2024-06-13&end=2024-07-06
HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,05/07/2024 09:13,4,06/07/2024 06:27,4,0.9,ABIDJAN,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,9.1,https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-03&end=2024-07-08
GREENSEA BERMEO,311001277,BHS,carrier,carrier,CMR,DOUALA,03/07/2024 15:10,4,07/07/2024 07:55,4,3.7,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,2,95.5,https://globalfishingwatch.org/map/vessel/f10b9789e-ee21-5b92-3757-e21d10651854?&start=2024-07-01&end=2024-07-09
ORANGE STRAIT,306124000,CUW,carrier,carrier,MRT,CANSADO,01/07/2024 19:58,4,07/07/2024 14:43,4,5.8,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/ad3e6af69-99cc-cded-9f80-c97cfa346ce5?&start=2024-06-29&end=2024-07-09
F/V ALBACORA QUINCE,224727000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,07/07/2024 00:35,4,08/07/2024 06:05,4,1.2,ABIDJAN,NA,TRUE,47.9125,CIV,FALSE,"ACAP, IWC, NAMMCO, ICCAT, FCWC",FALSE,NA,FALSE,NA,51.6,https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2024-07-05&end=2024-07-10
MONTELAURA,355855000,PAN,carrier,carrier,ESP,ESP-269,27/06/2024 14:55,4,08/07/2024 07:35,4,10.7,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,https://globalfishingwatch.org/map/vessel/115b89b37-784e-18ae-2885-d92d06a99119?&start=2024-06-25&end=2024-07-10
F/V STERENN,226180000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,06/06/2024 14:37,4,08/07/2024 17:14,4,32.1,ABIDJAN,NA,TRUE,113.6458333,"GAB, CIV",FALSE,"COREP, NAMMCO, FCWC, ICCAT, ACAP, IWC",TRUE,2,TRUE,6,NA,https://globalfishingwatch.org/map/vessel/ec049fc02-2932-810d-f9b3-293e4eec0799?&start=2024-06-04&end=2024-07-10
COOL GIRL,354294000,PAN,carrier,carrier,NGA,LAGOS,29/05/2024 18:20,4,09/07/2024 08:47,4,40.6,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,46,NA,https://globalfishingwatch.org/map/vessel/ad9a86c7c-cdba-b3c9-c490-ef49adf8c407?&start=2024-05-27&end=2024-07-11
NOVA ZEELANDIA,311001171,BHS,carrier,carrier,AGO,LUANDA,04/07/2024 11:00,4,09/07/2024 10:30,4,5,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/4b3eb996d-d6a1-a914-61e3-2151c105a03c?&start=2024-07-02&end=2024-07-11
ATLANTIC GLORY,312864000,BLZ,fishing,tuna_purse_seines,GHA,TEMA,18/06/2024 18:53,4,10/07/2024 08:05,4,21.5,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,https://globalfishingwatch.org/map/vessel/f2134364c-c3d5-8ee9-ddd4-5511c0500a50?&start=2024-06-16&end=2024-07-12
JC GLORIA,312155000,BLZ,fishing,tuna_purse_seines,CIV,ABIDJAN,15/06/2024 08:38,4,10/07/2024 08:07,4,25,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,https://globalfishingwatch.org/map/vessel/ba4343d28-82b7-2393-0c4d-15ac0c4951fb?&start=2024-06-13&end=2024-07-12
HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,10/07/2024 08:44,4,11/07/2024 06:44,4,0.9,ABIDJAN,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,8.7,https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-08&end=2024-07-13
SIERRA LARA,311000682,BHS,carrier,carrier,MRT,CANSADO,06/07/2024 11:09,4,12/07/2024 07:12,4,5.8,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,2,100,https://globalfishingwatch.org/map/vessel/06e80b345-58b2-caef-e41e-f60e9d6f2f1e?&start=2024-07-04&end=2024-07-14
MONTERAIOLA,224742000,ESP,fishing,tuna_purse_seines,STP,SAO TOME,12/06/2024 21:15,4,12/07/2024 17:55,4,29.8,ABIDJAN,NA,TRUE,44.70833333,CIV,FALSE,"IWC, ACAP, NAMMCO, ICCAT, FCWC",TRUE,2,FALSE,NA,NA,https://globalfishingwatch.org/map/vessel/c44bf0cee-e97e-f9c4-3c32-97d90554b144?&start=2024-06-10&end=2024-07-14
F/V GUEOTEC,227549000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,24/05/2024 09:35,4,13/07/2024 06:42,4,49.9,ABIDJAN,NA,TRUE,591.5863889,"CIV, STP, GAB",FALSE,"NAMMCO, IWC, FCWC, COREP, ICCAT, ACAP",TRUE,2,TRUE,30,NA,https://globalfishingwatch.org/map/vessel/96e442d84-489f-962f-588a-33e367aa0330?&start=2024-05-22&end=2024-07-15
GARBOLA,225461000,ESP,support,purse_seine_support,SEN,DAKAR,21/05/2024 12:33,4,14/07/2024 07:07,4,53.8,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,https://globalfishingwatch.org/map/vessel/cf930809d-da1e-0f57-d725-bee6826624ab?&start=2024-05-19&end=2024-07-16
FRIO CHIKUMA,353306000,PAN,carrier,carrier,MRT,CANSADO,06/07/2024 20:40,4,14/07/2024 14:45,4,7.8,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/0b08bcd8a-ab03-23dc-5cad-64a9030731ba?&start=2024-07-04&end=2024-07-16
VOLTA GLORY,627047000,GHA,carrier,carrier,CIV,ABIDJAN,05/07/2024 18:10,4,17/07/2024 06:25,4,11.5,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,TRUE,4,TRUE,6,98.9,https://globalfishingwatch.org/map/vessel/321c72ecf-fb14-deda-49a2-2451e9e35a47?&start=2024-07-03&end=2024-07-19
SOLARTE,325129600,DMA,carrier,carrier,MRT,CANSADO,09/07/2024 20:18,4,17/07/2024 08:36,4,7.5,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,2,75.7,https://globalfishingwatch.org/map/vessel/24934185e-e11d-95bd-3bea-d0c1baf39d8f?&start=2024-07-07&end=2024-07-19
HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,17/07/2024 10:40,4,18/07/2024 06:45,4,0.8,ABIDJAN,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,9.5,https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-15&end=2024-07-20
PLAYA DE LAGA,312360000,BLZ,fishing,tuna_purse_seines,CIV,ABIDJAN,04/07/2024 20:49,4,18/07/2024 06:55,4,13.4,ABIDJAN,NA,TRUE,133.8736111,CIV,FALSE,"NAMMCO, ACAP, ICCAT, IWC, FCWC",FALSE,NA,TRUE,4,24.8,https://globalfishingwatch.org/map/vessel/cc6b54a24-4542-6ce9-1e91-d4f17daeeda5?&start=2024-07-02&end=2024-07-20
SYDNEY SOFIA,356262000,PAN,fishing,tuna_purse_seines,CIV,ABIDJAN,23/06/2024 09:13,4,18/07/2024 10:26,4,25,ABIDJAN,NA,TRUE,728.8541667,"GIN, LBR, SLE",FALSE,"FCWC, SRFC, ACAP, IWC, ICCAT, NAMMCO",TRUE,2,TRUE,48,NA,https://globalfishingwatch.org/map/vessel/f2de78309-99b3-6b6a-2926-8af2b3051672?&start=2024-06-21&end=2024-07-20
NEW SKY,325965000,DMA,carrier,carrier,MRT,CANSADO,13/07/2024 18:43,4,19/07/2024 19:28,4,6,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,4,100,https://globalfishingwatch.org/map/vessel/47d12d8ad-dc16-690a-1e13-d4c55f9b8943?&start=2024-07-11&end=2024-07-21
MARTA REEFER,355295000,PAN,carrier,carrier,NAM,WALVIS BAY,12/07/2024 04:28,4,20/07/2024 11:59,4,8.3,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/bcb7b9666-6e7b-c035-a144-c0c6a909f2a3?&start=2024-07-10&end=2024-07-22
PANOFI FORE RUNNER,627072000,GHA,fishing,tuna_purse_seines,GHA,TEMA,03/07/2024 20:38,4,20/07/2024 13:32,4,16.7,ABIDJAN,NA,TRUE,424.1230556,GHA,TRUE,"FCWC, NAMMCO, IWC, ICCAT, ACAP",FALSE,NA,TRUE,26,99.8,https://globalfishingwatch.org/map/vessel/04b95cb83-31d8-06e7-0845-8691696643f5?&start=2024-07-01&end=2024-07-22
F/V STERENN,226180000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,11/07/2024 19:10,4,24/07/2024 09:14,4,12.6,ABIDJAN,NA,TRUE,41.13333333,GAB,FALSE,"ACAP, IWC, COREP, ICCAT",FALSE,NA,TRUE,2,50.5,https://globalfishingwatch.org/map/vessel/ec049fc02-2932-810d-f9b3-293e4eec0799?&start=2024-07-09&end=2024-07-26
F/V ALBACORA QUINCE,224727000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,13/07/2024 17:28,4,24/07/2024 09:35,4,10.7,ABIDJAN,NA,TRUE,3.7875,CIV,FALSE,"FCWC, ICCAT, ACAP, NAMMCO, IWC",FALSE,NA,FALSE,NA,6.6,https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2024-07-11&end=2024-07-26
MONTEFRISA NUEVE,359101000,SLV,fishing,tuna_purse_seines,CIV,ABIDJAN,07/06/2024 19:48,4,25/07/2024 06:09,4,47.4,ABIDJAN,NA,TRUE,428.9966667,"GAB, CIV",TRUE,"ICCAT, COREP, NAMMCO, ACAP, IWC, FCWC",TRUE,4,TRUE,36,NA,https://globalfishingwatch.org/map/vessel/a812d4320-0608-5ad0-1929-d5206eda123a?&start=2024-06-05&end=2024-07-27
ATLANTIC PRINCE,312867000,BLZ,fishing,tuna_purse_seines,GHA,TEMA,22/06/2024 16:54,4,26/07/2024 06:32,4,33.5,ABIDJAN,NA,TRUE,92.58611111,GHA,FALSE,"ACAP, NAMMCO, FCWC, IWC, ICCAT",FALSE,NA,TRUE,4,NA,https://globalfishingwatch.org/map/vessel/a8fa13d03-3876-ae64-a357-4823082c2984?&start=2024-06-20&end=2024-07-28
HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,26/07/2024 09:57,4,27/07/2024 06:30,4,0.8,ABIDJAN,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,9.1,https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-24&end=2024-07-29
BAO WIN,312797000,BLZ,fishing,tuna_purse_seines,CIV,ABIDJAN,22/06/2024 08:14,4,27/07/2024 07:50,4,35,ABIDJAN,NA,TRUE,21.54416667,NA,TRUE,"ICCAT, IWC, ACAP",FALSE,NA,TRUE,8,NA,https://globalfishingwatch.org/map/vessel/b5d3439b6-6d19-5385-9d6b-08a0dfd60fa7?&start=2024-06-20&end=2024-07-29
F/V GUERIDEN,227550000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,06/06/2024 07:58,4,29/07/2024 06:15,4,52.9,ABIDJAN,NA,TRUE,630.8505556,"GHA, CIV, GAB",FALSE,"NAMMCO, COREP, IWC, ACAP, FCWC, ICCAT",TRUE,2,TRUE,26,NA,https://globalfishingwatch.org/map/vessel/1fe43f651-11a3-402d-dfed-efde848e7eee?&start=2024-06-04&end=2024-07-31
HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,28/07/2024 08:32,4,29/07/2024 06:26,4,0.9,ABIDJAN,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,8.7,https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-26&end=2024-07-31
F/V CAP BOJADOR,228280000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,17/06/2024 09:06,4,30/07/2024 07:29,4,42.9,ABIDJAN,NA,TRUE,487.305,"CIV, GAB",TRUE,"IWC, FCWC, NAMMCO, ICCAT, ACAP, COREP",TRUE,2,TRUE,20,NA,https://globalfishingwatch.org/map/vessel/cc9dd42b8-8263-d5f5-d479-8027efd525be?&start=2024-06-15&end=2024-08-01
BAO LUCKY,312756000,BLZ,fishing,tuna_purse_seines,CIV,ABIDJAN,05/07/2024 10:26,4,30/07/2024 08:21,4,24.9,ABIDJAN,NA,TRUE,6.308333333,NA,TRUE,"ICCAT, IWC, ACAP",FALSE,NA,FALSE,NA,6.8,https://globalfishingwatch.org/map/vessel/68ab5e789-96a1-fd61-016c-92bd413a9682?&start=2024-07-03&end=2024-08-01
SYDNEY SOFIA,356262000,PAN,fishing,tuna_purse_seines,CIV,ABIDJAN,23/07/2024 09:23,4,01/08/2024 06:09,4,8.8,ABIDJAN,NA,TRUE,144.0155556,"SLE, LBR, CIV",TRUE,"NAMMCO, SRFC, IWC, ACAP, FCWC, ICCAT",FALSE,NA,TRUE,8,95.8,https://globalfishingwatch.org/map/vessel/f2de78309-99b3-6b6a-2926-8af2b3051672?&start=2024-07-21&end=2024-08-03
HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,31/07/2024 07:51,4,01/08/2024 06:29,4,0.9,ABIDJAN,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,12.5,https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-29&end=2024-08-03
COPPENAME,311001173,BHS,carrier,carrier,MRT,CANSADO,26/07/2024 15:38,4,01/08/2024 08:58,4,5.7,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/cedbb451f-f3bf-f994-f27f-32afcd7a4c9d?&start=2024-07-24&end=2024-08-03
PANOFI FORE RUNNER,627072000,GHA,fishing,tuna_purse_seines,GHA,TEMA,01/08/2024 08:08,4,02/08/2024 06:35,4,0.9,ABIDJAN,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,69.6,https://globalfishingwatch.org/map/vessel/04b95cb83-31d8-06e7-0845-8691696643f5?&start=2024-07-30&end=2024-08-04
HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,02/08/2024 08:26,4,03/08/2024 06:33,3,0.9,ABIDJAN,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,8.7,https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-31&end=2024-08-05
